time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-11-01T18:57:22.380Z,-19.6903,-177.7587,434,7.1,mww,,13,4.415,0.84,us,usc000stdc,2016-11-10T21:45:06.009Z,"144km NE of Ndoi Island, Fiji",earthquake,8.5,1.2,,,reviewed,us,us
2014-10-14T03:51:34.460Z,12.5262,-88.1225,40,7.3,mww,,18,1.078,0.7,us,usb000slwn,2015-11-10T01:24:37.296Z,"74km S of Intipuca, El Salvador",earthquake,5.6,1.8,,,reviewed,us,us
2014-10-09T02:32:05.140Z,-32.0953,-110.8647,10,6.6,mww,,32,5.127,0.43,us,usb000sk6q,2015-01-06T23:49:48.040Z,"Southern East Pacific Rise",earthquake,9.3,1.7,,,reviewed,us,us
2014-10-09T02:14:31.440Z,-32.1082,-110.8112,16.54,7,mww,,22,5.127,0.43,us,usb000sk6k,2015-08-13T19:31:44.129Z,"Southern East Pacific Rise",earthquake,8.2,2.9,,,reviewed,us,us
2014-09-17T06:14:45.410Z,13.7641,144.4294,130,6.7,mww,,11,0.46,0.84,us,usb000sdcr,2015-01-28T16:56:39.935Z,"43km NW of Piti Village, Guam",earthquake,6.8,1.8,,,reviewed,us,us
2014-08-24T23:21:45.520Z,-14.598,-73.5714,101,6.8,mww,,18,4.107,0.9,us,usb000s5x1,2015-02-09T01:43:53.323Z,"43km ENE of Tambo, Peru",earthquake,4.7,1.8,,,reviewed,us,us
2014-08-03T00:22:03.680Z,0.8295,146.1688,13,6.9,mww,,12,6.393,0.93,us,usb000rzki,2014-10-29T19:52:56.000Z,"Federated States of Micronesia region",earthquake,,1.6,,,reviewed,us,us
2014-07-21T14:54:41.000Z,-19.8015,-178.4001,615.42,6.9,mww,,15,3.934,0.96,us,usb000ruzk,2014-10-17T21:12:14.000Z,"99km NNE of Ndoi Island, Fiji",earthquake,,2.9,,,reviewed,us,us
2014-07-11T19:22:00.820Z,37.0052,142.4525,20,6.5,mww,,9,2.421,0.75,us,usb000rs50,2016-10-31T12:03:04.446Z,"139km E of Iwaki, Japan",earthquake,,1.7,,,reviewed,us,us
2014-07-07T11:23:54.780Z,14.724,-92.4614,53,6.9,mww,,51,0.263,1.38,us,usc000rr6a,2015-12-17T20:03:40.341Z,"4km W of Puerto Madero, Mexico",earthquake,,1.8,,,reviewed,us,us
